"2012-12-25","1262","0","0","0","0","0","","","0","N/A","2008-01-01","0"
"2013-01-25","1273","11","7.75","155.00","","","","","162.75","0423816","2013-07-23",""
"2013-02-25","1284","11","7.75","155.00","","","","","162.75","0423816","2013-07-23",""
"2013-03-25","1292","8","7.00","140.00","","","","","147.00","0423816","2013-07-23",""
"2013-04-25","1305","13","9.25","185.00","0","0","","","194.25","0568106","2013-10-21",\N
"2013-05-25","1328","23","16.9","338.00","0","0","","","354.90","0568106","2013-10-21",\N
"2013-06-25","1336","8","7.00","140.00","0","0","","","147.00","0568707","2013-11-13",""
"2013-07-25","1343","7","7.00","140.00","0","0","","","147.00","0568707","2013-11-13",""
"2013-08-25","1349","6","7.00","140.00","0","0","","","147.00","0568707","2013-11-13",""
"2013-09-25","1356","7","7","140.00","0","0","","","147.00","0677087","2013-11-28",""
"2013-10-25","1361","5","7","140.00","0","0","","","147.00","0677087","2013-11-28",""
"2013-11-25","1367","6",\N,"140.00","00.00","00.00","","","140",\N,\N,\N
"2013-12-25","1373","6",\N,"140.00","00.00","00.00","","","140",\N,\N,\N
