"1","2012-12-24","66","0","0","0","0","0","","","0","N/A","2013-01-01","0"
"2","2013-01-24","82","16","11.50","230.00","","","","","241.50","0160108","2013-05-07",""
"3","2013-02-24","98","16","11.50","230.00","","","","","241.50","0160108","2013-05-07",""
"4","2013-03-24","115","17","12.25","245.00","","","","","257.25","0160108","2013-05-07",""
"5","2013-04-24","133","18","","260.00","","","","","260","0160108","2013-05-07",""
"6","2013-05-24","150","17","12.25","245.00","","","","","257.25","0424122","2013-07-30",""
"7","2013-06-24","173","23","16.90","338.00","","","","","354.90","0424122","2013-07-30",""
"8","2013-07-24","192","19","","275.00","","","","","275","0566363","2013-08-19",""
"9","2013-08-24","213","21","15.30","306.00","","","","","321.30","0567475","2013-09-30",""
"10","2013-09-24","235","22","16.1","322.00","0","0","","","338.10","0568531","2013-11-04",\N
"11","2013-10-24","15","0","","0.00","0","0","","","0","00000000","0000-00-00","CHANGE METER"
"12","2013-11-24","37","22","16.1","322.00","00.00","00.00","","","338.10","0701908","2014-01-03",\N
"13","2013-12-24","58","21",\N,"306.00","00.00","00.00","","","306",\N,\N,\N
