"1","2012-12-25","278","0","0","0","0","0","","","0","N/A","2013-04-17","0"
"2","2013-01-25","289","11","7.75","155.00","","","","","162.75","0160057","2013-04-17",""
"3","2013-02-25","301","12","8.50","170.00","","","","","178.50","0160057","2013-04-17",""
"4","2013-03-25","310","9","7.00","140.00","","","","","147.00","0423406","2013-07-11",""
"5","2013-04-25","321","11","7.75","155.00","","","","","162.75","0423406","2013-07-11",""
"6","2013-05-25","331","10","7.00","140.00","","","","","147.00","0423406","2013-07-11",""
"7","2013-06-25","339","8","","140.00","","","","","140.00","0423407","2013-07-11",""
"8","2013-07-25","344","5","7","140.00","0","0","","","147.00","","",""
"9","2013-08-25","344","0","7","140.00","0","0","","","147.00","0677505","2013-12-04",\N
"10","2013-09-25","344","0","7","140.00","0","0","","","147.00","0677505","2013-12-04",""
"11","2013-10-25","344","0","7","140.00","0","0","","","147.00","0677505","2013-12-04",""
"12","2013-11-25","344","0","0","7","00.00","140.00","","","147.00","0677505","2013-12-04",""
"13","2013-12-25","350","6",\N,"140.00","00.00","00.00","","","140",\N,\N,\N
