"2","2012-11-28","506","14","0","200.00","","","","","200.00","0701802","2013-12-26",""
"3","2012-12-28","521","15","10.75","215.00","0","0","",\N,"225.75","0701802","2013-12-26",\N
"4","2013-01-28","537","16","11.5","230.00","0","0","",\N,"241.50","0701802","2013-12-26",\N
"5","2013-02-28","552","15","10.75","215.00","0","0","",\N,"225.75","0701802","2013-12-26",\N
"6","2013-03-28","564","12","8.5","170.00","0","0","",\N,"178.50","0701802","2013-12-26",\N
"7","2013-04-28","578","14","10","200.00","0","0","",\N,"210.00","0701802","2013-12-26",\N
"8","2013-05-28","597","19","13.75","275.00","0","0","",\N,"288.75","0701802","2013-12-26",\N
"9","2013-06-28","611","14","10","200.00","0","0","",\N,"210.00","0701802","2013-12-26",\N
"10","2013-07-28","625","14","","200.00","0","0","","","200","","",""
"11","2013-08-28","","-625","","","00.00","00.00","",\N,"0","","","PL"
