"2","2006-01-25","52","11","7","155.00","","","","","162.00","7150295","2006-04-03",""
"3","2006-02-25","64","12","","170.00","","","","","170.00","7205003","2006-05-04",""
"4","2006-03-25","76","12","8.50","170.00","","","","","178.50","7205540","2006-07-03",""
"5","2006-04-25","94","18",\N,"260.00","0","0","",\N,"260",\N,\N,\N
"6","2006-05-25","119","25",\N,"370.00","0","0","",\N,"370",\N,\N,\N
"7","2006-06-25","148","29",\N,"434.00","0","0","",\N,"434",\N,\N,\N
"8","2006-07-25","174","26",\N,"386.00","0","0","",\N,"386",\N,\N,\N
"9","2006-08-25","200","26",\N,"386.00","0","0","",\N,"386",\N,\N,\N
"10","2006-09-25","200","0",\N,"","0","0","",\N,"0",\N,\N,\N
"11","2006-10-25","238","38",\N,"586.00","0","0","",\N,"586",\N,\N,\N
"12","2006-11-25","254","16",\N,"230.00","0","0","",\N,"230",\N,\N,\N
"13","2006-12-25","279","25","","370.00","0","0","","","370","","","PL"
