"1","2012-12-28","1312","0","0","0","0","0","","","0","N/A","2013-01-01","0"
"2","2013-01-28","1319","7","7.00","140.00","","","","","147.00","0160327","2013-05-02",""
"3","2013-02-28","1327","8","7.00","140.00","","","","","147.00","0567754","2013-10-08",""
"4","2013-03-28","1334","7","7.00","140.00","","","","","147.00","0567754","2013-10-08",""
"5","2013-04-28","1344","10","7","140","","","","","147.00","0567754","2013-10-08",""
"6","2013-05-28","1364","20","14.50","290.00","","","","","304.50","0567754","2013-10-08",""
"7","2013-06-28","1384","20","14.50","290.00","","","","","304.50","0567754","2013-10-08",""
"8","2013-07-28","1405","21","","306.00","0","0","","","306","","",""
"10","2013-08-28","1405","0","","0.00","0","0","","","0","00000000","0000-00-00",""
"11","2013-09-28","1405","0","","0.00","0","0","","","0","00000000","0000-00-00",""
"12","2013-10-28","1414","9","","140.00","0","0","","","140","","","RE-OPEN"
"13","2013-11-28","1432","18",\N,"260.00","0","0","","","260",\N,\N,\N
"14","2013-12-28","1448","16",\N,"230.00","00.00","00.00","","","230",\N,\N,\N
