"2","2006-05-27","25","24","","354.00","","","","","354.00","7205324","2006-06-06",""
"3","2006-06-27","59","34","","518.00","","","","","518.00","7205760","2006-07-04",""
"4","2006-07-27","59","0",\N,"","0","0","",\N,"0",\N,\N,\N
"5","2006-08-27","59","0",\N,"","0","0","",\N,"0",\N,\N,\N
"6","2006-09-27","59","0",\N,"","0","0","",\N,"0",\N,\N,\N
"7","2006-06-27","59","34","","518.00","","","","","518.00","7205760","2006-07-04",""
"8","2006-10-27","61","2",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"9","2006-11-27","64","3",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"10","2006-12-27","66","2",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"11","2007-01-27","70","4","","140.00","0","0","","","140","7213366","2007-02-05",""
"12","2007-02-27","76","6","","140.00","0","0","","","140","7213999","2007-03-19",""
"13","2007-03-27","81","5",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"14","2007-04-27","86","5","","140.00","0","0","","","140","7214855","2007-06-01",""
"15","2006-06-27","59","34","","518.00","","","","","518.00","7205760","2006-07-04",""
"16","2007-05-27","90","4","","140.00","","","","","140.00","7214876","2007-06-18",""
"17","2007-06-27","91","1","","140.00","","","","","140.00","7215557","2007-07-01",""
"18","2007-07-27","94","3","","140.00","","","","","140.00","7215904","2007-08-05",""
"19","2007-08-27","96","2","","140.00","","","","","140.00","7216272","2007-09-27","PL"
