"1","2012-12-25","1168","0","0","0","0","0","","","0","N/A","2008-01-01","0"
"2","2013-01-25","1195","27","","402","","","","","402","0074271","2013-02-07",""
"3","2013-02-25","1224","29","","434","","","","","434","0159109","2013-03-07",""
"4","2013-03-25","1249","25","","370","","","","","370","1599541","2002-04-08",""
"5","2013-04-25","1279","30","","450","","","","","450","0960446","2013-05-09",""
"6","2013-05-25","1311","32","","484","","","","","484","0337577","2013-06-04",""
"7","2013-06-25","1335","24","","354","","","","","354","0338298","2013-07-04",""
"8","2013-07-25","1360","25","","370","","","","","370","0424366","2013-08-05",""
"9","2013-08-25","1387","27","","402","","","","","402","0566806","2013-09-04",""
"10","2013-09-25","1412","25","","370","","","","","370","0567343","2013-10-04",""
"11","2013-10-25","1434","22","0","322.00","0","0","","","322.00","0568541","2013-11-05",\N
"13","2013-11-25","1453","19","0","275.00","00.00","00.00","","","275.00","0677355","2013-12-02",\N
"14","2013-12-25","1472","19","0","275.00","00.00","00.00","","","275.00","0701493","2014-01-07",\N
