"1","2013-03-25","508","0","0","0","0","0","","","0","N/A","2008-01-01","0"
"2","2013-04-25","518","10","","140","","333.35","","","473.35","0160699","2013-05-17",""
"3","2013-05-25","525","7","","140","","333.35","","","473.35","0337710","2013-06-14",""
"4","2013-06-25","534","9","","140","","","","","140","0423401","2013-07-10",""
"5","2013-07-25","544","10","","140","","","","","140","0566331","2013-08-16",""
"6","2013-08-25","554","10","","140.00","0","0","","","140.00","0566701","2013-09-02",""
"7","2013-09-25","562","8","7.00","140.00","0","0","","","147.00","0568101","2013-10-21",""
"8","2013-10-25","569","7","","140.00","0","0","","","140.00","0676742","2013-11-14",""
"9","2013-11-25","578","9","0","140.00","00.00","00.00","","","140.00","0701326","2013-12-16",\N
"10","2013-12-25","586","8","0","140.00","00.00","00.00","","","140.00","0702171","2014-01-10",\N
