"2","2006-05-27","19","17","","245.00","","","","","245.00","7205335","2006-06-06",""
"3","2006-06-27","38","19","","275.00","","","","","275.00","7205771","2006-07-04",""
"4","2006-07-27","53","15","","215.00","","","","","215.00","7206804","2006-09-06",""
"5","2006-08-27","66","13",\N,"185.00","0","0","",\N,"185",\N,\N,\N
"6","2006-09-27","88","22",\N,"322.00","0","0","",\N,"322",\N,\N,\N
"7","2006-10-27","100","12",\N,"170.00","0","0","",\N,"170",\N,\N,\N
"8","2006-11-27","126","26",\N,"386.00","0","0","",\N,"386",\N,\N,\N
"9","2006-12-27","143","17",\N,"245.00","0","0","",\N,"245",\N,\N,\N
"10","2007-01-27","161","18",\N,"260.00","0","0","",\N,"260",\N,\N,\N
"11","2007-02-27","177","16",\N,"230.00","0","0","",\N,"230",\N,\N,\N
"12","2007-03-27","189","12",\N,"170.00","0","0","",\N,"170",\N,\N,\N
"13","2007-04-27","200","11",\N,"155.00","0","0","",\N,"155",\N,\N,\N
"14","2007-05-27","208","8",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"15","2007-06-27","218","10","","140.00","0","0","","","140","","","PL"
