"1","2012-12-25","1514","0","0","0","0","0","","","0","N/A","2008-01-01","0"
"2","2013-01-25","1521","7","","140.00","","","","","140.00","0074269","2013-02-08",""
"3","2013-02-25","1531","10","7.00","140","","","","","147.00","0159478","2013-03-25",""
"4","2013-03-25","1540","9","","140","","","","","140","0159872","2013-04-17",""
"5","2013-04-25","1553","13","","185.00","","","","","185.00","0160291","2013-05-09",""
"6","2013-05-25","1566","13","","185","","","","","185","0337599","2013-06-05",""
"7","2013-06-25","1573","7","","140","","","","","140","0423611","2013-07-17",""
"8","2013-07-25","1589","16","","230.00","","","","","230.00","0424403","2013-08-06",""
"9","2013-08-25","1618","29","","434","","","","","434","0567181","2013-09-17",""
"10","2013-09-25","1631","13","","185.00","","","","","185.00","0568054","2013-10-16",""
"11","2013-10-25","1645","14","0","200.00","0","0","","","200.00","0676651","2013-11-11",\N
"12","2013-11-25","1658","13","0","185.00","00.00","00.00","","","185.00","0701218","2013-12-11",\N
"13","2013-12-25","1671","13",\N,"185.00","00.00","00.00","","","185",\N,\N,\N
