"1","CT1_0_10","0","10","1","140.00"
"2","CT2_0_10","0","10","2","270.00"
"3","CT1_11_20","11","20","1","15.00"
"4","CT1_21_30","21","30","1","16.00"
"5","CT1_31_Above","31","above","1","17.00"
"6","CT2_11_20","11","20","2","22.50"
"7","CT2_21_30","21","30","2","24.00"
"8","CT2_31_Above","31","above","2","25.50"
