"1","2012-09-27","150","12","8.50","170.00","0","0","","","178.50","0073910","2013-01-17","0"
"2","2012-10-27","160","10",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"3","2012-11-27","166","6",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"4","2012-12-27","172","6",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"5","2013-01-27","176","4",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"6","2013-02-27","180","4",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"7","2013-03-27","182","2",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"8","2013-04-27","188","6",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"12","2013-05-27","188","0","","140.00","0","0","","","140.00","0","0",""
"13","2013-06-27","191","3",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"14","2013-07-27","198","7",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"15","2013-08-27","206","8","","140.00","0","0","","","140","","","PL"
