"3","2007-05-25","20","6","7.00","140.00","0","233.35","","","380.35","","",""
"4","2007-06-25","29","9","7.00","140.00","50.80","0","","","197.80","","",""
"5","2007-07-25","39","10","7.00","140.00","50.80","0","","","197.80","","",""
"6","2007-08-25","48","9","7.00","140.00","50.80","0","","","197.80","","",""
"7","2007-09-25","57","9","7.00","140.00","50.80","0","","","197.80","","",""
"8","2007-10-25","66","9","7.00","140.00","50.80.","0","","","197.80","","",""
"9","2007-11-25","73","7","7.00","140.00","50.80","0","","","197.80","","",""
"10","2007-12-25","80","7","7.00","140.00","50.80","0","","","197.80","","",""
"11","2008-01-25","89","9","7.00","140.00","50.80","0","","","197.80","","",""
"12","2008-02-25","94","5","7.00","140.00","50.8","0","","","197.80","","","PL"
