"1","2012-05-28","1046","13","","185","","","","","185.00","","",""
"2","2012-06-28","1056","10",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"3","2012-07-28","1072","16",\N,"230.00","0","0","",\N,"230",\N,\N,\N
"4","2012-08-28","1087","15",\N,"215.00","0","0","",\N,"215",\N,\N,\N
"5","2012-09-28","1102","15",\N,"215.00","0","0","",\N,"215",\N,\N,\N
"6","2012-10-28","1114","12",\N,"170.00","0","0","",\N,"170",\N,\N,\N
"7","2012-11-28","1127","13",\N,"185.00","0","0","",\N,"185",\N,\N,\N
"8","2012-12-28","1141","14",\N,"200.00","0","0","",\N,"200",\N,\N,\N
"9","2013-01-28","1163","22",\N,"322.00","0","0","",\N,"322",\N,\N,\N
"10","2013-02-28","1177","14",\N,"200.00","0","0","",\N,"200",\N,\N,\N
"11","2013-03-28","1188","11",\N,"155.00","0","0","",\N,"155",\N,\N,\N
"12","2013-04-28","1204","16",\N,"230.00","0","0","",\N,"230",\N,\N,\N
"13","2013-05-28","1221","17",\N,"245.00","0","0","",\N,"245",\N,\N,\N
"14","2013-06-28","1233","12",\N,"170.00","0","0","",\N,"170",\N,\N,\N
"15","2013-07-28","1248","15","","215.00","0","0","","","215","","","PL"
