"167","0073719","2013-01-15","2006-05-0539","200","","0"
"168","0073719","2013-01-15","2006-05-0539","200","","0"
"171","0072696","2012-12-04","2009-01-0896","wara aq idea","","0"
"172","0073243","2012-12-27","2008-08-0760","wara aq idea","","0"
"173","0073243","2012-12-27","2008-08-0760","wara aq idea","","0"
"174","0072626","2012-12-03","2005-11-0446","wara aq idea","","0"
"175","0073411","2013-01-07","2005-11-0446","162.75","","0"
"176","0074148","2013-02-05","2005-11-0446","225.75","","0"
"177","0072753","2012-12-03","2011-06-1214","wara aq idea","","0"
"178","5357878","2012-11-13","2005-10-0377","wara aq idea","","0"
"179","0073107","2012-12-13","2005-10-0377","909","","0"
"180","0073140","2013-01-15","2005-10-0377","977","","0"
"181","0072674","2012-12-04","2006-05-0506","wara aq idea","","0"
"182","0072674","2012-12-04","2006-05-0506","wara aq idea","","0"
"185","0072942","2012-12-11","2009-11-0958","wara aq idea","","0"
"186","0073511","2013-01-10","2009-11-0958","245","","0"
"187","0073825","2013-02-13","2006-02-0464","wara aq idea","","0"
"188","0073825","2013-02-13","2006-02-0464","wara aq idea","","0"
"189","0073825","2013-02-13","2006-02-0464","wara aq idea","","0"
"190","0073086","2012-12-17","2009-07-0932","wara aq idea","","0"
"191","0073086","2012-12-17","2009-07-0932","wara aq idea","","0"
"192","0073683","2013-01-16","2009-07-0932","140","","0"
"193","0074200","2013-02-08","2009-07-0932","140","","0"
"195","0072912","2012-12-07","2011-01-1137","354","","0"
"196","0073654","2013-01-10","2011-01-1137","290","","0"
"197","0074311","2013-02-11","2011-01-1137","290","",""
"199","5357876","2012-11-13","2006-02-0465","0","","0"
"201","0073041","2012-12-17","2009-11-0954","wara aq idea","","0"
"203","0072514","2012-11-21","2010-08-1073","wara aq idea","","0"
"204","0073958","2013-01-18","2010-08-1073","155","","0"
"205","0073958","2013-01-18","2010-08-1073","155","","0"
"206","0073599","2013-01-09","2011-02-1166","wara aq idea","","0"
"207","0073599","2013-01-09","2011-02-1166","wara aq idea","","0"
"208","0073599","2013-01-09","2011-02-1166","wara aq idea","","0"
"210","0073396","2013-01-07","2006-05-0508","147","","0"
"211","5357918","2012-11-19","2006-03-0478","wara aq idea","","0"
"212","0073202","2012-12-17","2006-03-0478","756","","0"
"213","0073198","2012-01-15","2006-03-0478","824","","0"
"214","0074372","2013-02-14","2006-03-0478","637","","0"
"215","0072456","2012-11-21","2005-10-0373","wara aq idea","","0"
"216","0073209","2012-12-17","2005-10-0373","215","","0"
"217","0073955","2013-01-18","2005-10-0373","230","","0"
"218","0158699","2012-02-20","2005-10-0373","200","","0"
"219","0074197","2013-02-07","2007-03-0683","wara aq idea","","0"
"220","0074197","2013-02-07","2007-03-0683","wara aq idea","","0"
"221","0072733","2012-12-05","2005-10-0393","wara aq idea","","0"
"222","5357874","2012-11-13","2006-05-0505","wara aq idea","","0"
"223","0073104","2012-12-13","2006-05-0505","260","","0"
"224","0073137","2013-01-15","2006-05-0505","200","","0"
"226","0072738","2012-12-05","2005-10-0379","wara aq idea","","0"
"227","0073352","2012-12-28","2005-10-0379","147","","0"
"229","0074225","2013-02-06","2011-02-1164","wara aq idea","","0"
"230","0074225","2013-02-06","2011-02-1164","wara aq idea","","0"
"231","0074225","2013-02-06","2011-02-1164","wara aq idea","","0"
"232","5357875","2012-11-13","2005-10-0382","wara aq idea","","0"
"236","0073707","2013-01-15","2008-04-0807","178.50","","0"
"240","0158937","2013-03-05","2006-06-0598","225.75","","0"
"242","0073336","2008-01-01","2010-07-1054","","","0"
"243","0074276","2013-02-08","2010-02-0977","wara aq idea","","0"
"244","5357744","2012-11-15","2008-02-0802","wara aq idea","","0"
"245","0073033","2012-12-13","2008-02-0802","155","","0"
"247","0073697","2013-01-17","2006-09-0646","147","","0"
"248","0158664","2013-02-18","2006-09-0646","147.00","",""
"250","0072786","2012-12-10","2005-02-0265","wara aq idea","","0"
"251","0073279","2012-01-03","2005-02-0265","668.85","","0"
"252","0074207","3013-01-30","2005-02-0265","561.75","","0"
"253","0158689","2013-02-18","2005-02-0265","688","","0"
"254","5357885","2012-11-13","2004-05-0045","0","","0"
"255","0074255","2013-02-04","2005-08-0338","wara aq idea","","0"
