"1","2012-12-26","1870","0","0","0","0","0","","","0","N/A","2013-01-01","0"
"2","2013-01-26","1896","26","","386.00","","","","","386.00","0074408","2013-02-12",""
"3","2013-02-26","1925","29","","434.00","","","","","434.00","0159205","2013-03-12",""
"4","2013-03-26","1952","27","","402.00","","","","","402.00","0159788","2013-04-10",""
"5","2013-04-26","1983","31","","467.00","","","","","467.00","0160452","2013-05-10",""
"6","2013-05-26","2013","30","","450.00","","","","","450.00","0337609","2013-06-07",""
"7","2013-06-26","2045","32","","484.00","","","","","484.00","0423375","2013-07-10",""
"8","2013-07-26","2078","33","","501.00","","","","","501.00","0424098","2013-08-05",""
"9","2013-08-26","2106","28","","418.00","","","","","418.00","0566717","2013-09-04",""
"10","2013-09-26","2134","28","","418.00","","","","","418.00","0567438","2013-10-08",""
"11","2013-10-26","2161","27","","402.00","","","","","402.00","0568400","2013-11-06",""
"12","2013-11-26","2188","27","0","402.00","00.00","00.00","","","402.00","0677197","2013-12-02",\N
"13","2013-12-26","2214","26","0","386.00","00.00","00.00","","","386.00","0702232","2014-01-09",\N
