"1","2012-12-25","311","0","0","0","0","0","","","0","N/A","2008-01-01","0"
"2","2013-01-25","319","8","","140","","","","","140","0074182","2013-02-06",""
"3","2013-02-25","328","9","","140","","","","","140","0158837","2013-03-05",""
"4","2013-03-25","342","14","","200","","","","","200","0159537","2013-04-05",""
"5","2013-04-25","362","20","","290","","","","","290","0160468","2013-05-09",""
"6","2013-05-25","384","22","","322","","","","","322","0160878","2013-05-31",""
"7","2013-06-25","409","25","","370","","","","","370","0338209","2013-07-03",""
"8","2013-07-25","417","8","","140","","","","","140","0424478","2013-08-07",""
"9","2013-08-25","427","10","","140","","","","","140","0566696","2013-09-02",""
"10","2013-09-25","440","13","","185","","","","","185","0567602","2013-10-03",""
"11","2013-10-25","450","10","0","140.00","0","0","","","140.00","0568506","2013-11-04",""
"12","2013-11-25","461","11","0","155.00","00.00","00.00","","","155.00","0677489","2013-12-03",\N
"13","2013-12-25","467","6","0","140.00","00.00","00.00","","","140.00","0701627","2014-01-07",\N
