"1","2012-12-27","337","0","0","0","0","0","","","0","N/A","2013-02-01","0"
"2","2013-01-27","344","7","","140.00","277.38","","","","417.38","0074133","2013-02-01",""
"3","2013-02-27","356","12","8.50","170.00","277.38","","","","455.88","0159573","2013-03-25",""
"4","2013-03-27","364","8","7.00","140.00","277.38","","","","424.38","0160321","2013-04-26",""
"5","2013-04-27","366","2","7.00","140.00","277.38","","","","424.38","0160929","2013-05-28",""
"6","2013-05-27","368","2","7.00","140.00","277.38","","","","424.38","0423654","2013-07-18",""
"7","2013-06-27","416","48","0","756.00","TO BE ADDED","FOR 3 MONTHS","","","0","0","0",""
"8","2013-07-27","475","59","","943.00","264.60","","","","1207.60","0566477","2013-08-23",""
"9","2013-08-27","481","6","","140.00","264.6","0","","","404.60","0567219","2013-09-20",""
"10","2013-09-27","487","6","7","140.00","264.6","0","","","411.6","0568140","2013-10-24",""
"11","2013-10-27","491","4","7","140.00","0","0","","","147.00","0677353","2013-12-02",\N
"12","2013-11-27","499","8","0","140.00","00.00","00.00","","","140.00","0677353","2013-12-02",\N
"13","2013-12-27","506","7",\N,"140.00","00.00","00.00","","","140",\N,\N,\N
