"2","2006-08-25","153","8","","112.00","","","","","112.00","0000000","-0001-11-30",""
"3","2006-09-25","153","0",\N,"","0","0","",\N,"0",\N,\N,\N
"4","2006-10-25","163","10",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"5","2006-11-25","169","6",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"6","2006-12-25","174","5",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"7","2007-01-25","177","3",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"8","2007-02-25","183","6",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"9","2007-03-25","187","4",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"10","2007-04-25","189","2",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"11","2007-05-25","190","1",\N,"140.00","0","0","",\N,"140",\N,\N,\N
"12","2007-06-25","","-190","","","0","0","","","0","","","PL"
