"2012-12-25","393","0","0","0","0","0","","","0","0160304","2013-04-29","0"
"2013-01-25","437","44","34.40","688.00","","","","","722.40","0160304","2013-04-29",""
"2013-02-25","484","47","36.95","739.00","","","","","775.95","0423847","2013-07-25",""
"2013-03-25","529","45","35.25","705.00","","","","","740.25","0423847","2013-07-25",""
"2013-04-25","582","53","42.05","841.00","","","","","883.05","0423847","2013-07-25",""
"2013-05-25","629","47","36.95","739.00","","","","","775.95","0566409","2013-08-22",""
"2013-06-25","668","39","30.15","603.00","","","","","633.15","0567257","2013-09-18",""
"2013-07-25","712","44","34.4","688.00","0","0","","","722.40","0568129","2013-10-23",\N
"2013-08-25","752","40","31","620.00","0","0","","","651.00","0677452","2013-12-02",\N
"2013-09-25","790","38","29.3","586.00","0","0","","","615.30","0701803","2013-12-26",\N
"2013-10-25","829","39","30.15","603.00","0","0","","","633.15","0701489","2014-01-06",\N
"2013-11-25","870","41",\N,"637.00","00.00","00.00","","","637",\N,\N,\N
"2013-12-25","911","41",\N,"637.00","00.00","00.00","","","637",\N,\N,\N
