"1","2013-01-27","634","7","7.00","140","0","0",\N,"147.00","0566596","2013-09-09","0"
"2","2013-02-27","642","8","7.00","140.00","","",\N,"147.00","0566596","2013-09-09",""
"3","2013-03-27","650","8","7.00","140.00","","",\N,"147.00","0566596","2013-09-09",""
"4","2013-04-27","660","10","7.00","140.00","","",\N,"147.00","0566596","2013-09-09",""
"5","2013-05-27","670","10","7.00","140.00","","",\N,"147.00","0566596","2013-09-09",""
"6","2013-06-27","677","7","7.00","140.00","","",\N,"147.00","0566596","2013-09-09",""
"7","2013-07-27","684","7","7","140.00","0","0",\N,"147.00","0701757","2014-01-08",\N
"8","2013-08-27","695","11","7.75","155.00","0","0",\N,"162.75","0701757","2014-01-08",\N
"9","2013-09-27","703","8","7","140.00","0","0",\N,"147.00","0701757","2014-01-08",\N
"10","2013-10-27","711","8","7","140.00","0","0",\N,"147.00","0701757","2014-01-08",\N
"11","2013-11-27","718","7","7","140.00","0","0",\N,"147.00","0701757","2014-01-08",\N
"12","2013-12-27","725","7",\N,"140.00","00.00","00.00",\N,"140",\N,\N,\N
