"2","2012-11-27","725","12","8.50","170","0","0","","","178.50","0073707","2013-01-15","0"
"3","2012-12-27","738","13","9.25","185.00","","","","","194.25","0159325","2013-03-18",""
"4","2013-01-27","748","10","7.00","140.00","","","","","147.00","0159325","2013-03-18",""
"5","2013-02-27","759","11","","155.00","","","","","155","0159325","2013-03-18",""
"6","2013-03-27","769","10","7.00","140.00","","","","","147.00","0160706","2013-05-16",""
"7","2013-04-27","778","9","","140.00","","","","","140","0160706","2013-05-16",""
"8","2013-05-27","792","14","10.00","200.00","","","","","210.00","0423607","2013-07-17",""
"9","2013-06-27","804","12","","170.00","","","","","170","0423607","2013-07-17",""
"10","2013-07-27","816","12","8.50","170.00","","","","","178.50","0567281","2013-09-19",""
"11","2013-08-27","829","13","","185.00","","","","","185","0567281","2013-09-19",""
"12","2013-09-27","845","16","11.50","230.00","","","","","241.50","0568256","2013-10-22",""
"13","2013-10-27","862","17","0","245.00","0","0","","","245.00","0676999","2013-11-19",\N
"14","2013-11-27","877","15","10.75","215.00","00.00","00.00","","","225.75","0701899","2014-01-03",\N
"15","2013-12-27","894","17",\N,"245.00","00.00","00.00","","","245",\N,\N,\N
